№ п/п,ШЧ,Станция,Широта,Долгота,GeoPoint
1,ИЧ-1,Балагачево,57.418832,86.046899,"[57.418832,86.046899]"
2,ИЧ-1,Басандайка,56.282295,85.48847,"[56.282295,85.48847]"
3,ИЧ-1,Богашево,56.367278,85.148278,"[56.367278,85.148278]"
4,ИЧ-1,Итатка,56.822173,85.607857,"[56.822173,85.607857]"
5,ИЧ-1,Копылово,56.57944,85.127464,"[56.57944,85.127464]"
6,ИЧ-1,Куендат,57.116952,86.18144,"[57.116952,86.18144]"
7,ИЧ-1,Межениновка,56.358367,85.364997,"[56.358367,85.364997]"
8,ИЧ-1,Предтеченск,56.409145,85.048539,"[56.409145,85.048539]"
9,ИЧ-1,Сайга,58.027077,85.418797,"[58.027077,85.418797]"
10,ИЧ-1,Санджик,58.278014,85.181705,"[58.278014,85.181705]"
11,ИЧ-1,Сахалинка,57.2772,86.115665,"[57.2772,86.115665]"
12,ИЧ-1,Томск I,56.522396,84.95152,"[56.522396,84.95152]"
13,ИЧ-1,Томск II,56.506908,84.998242,"[56.506908, 84.998242]"
14,ИЧ-1,Томск-Грузовой,56.522396,84.95152,"[56.522396,84.95152]"
15,ИЧ-1,Томск-Северный,56.541141,85.05409,"[56.541141,85.05409]"
16,ИЧ-1,Улу-Юл,57.711143,85.78425,"[57.711143,85.78425]"
17,ИЧ-2,Айнак,53.182276,78.477057,"[53.182276,78.477057]"
18,ИЧ-2,Бурла,53.332435,78.329311,"[53.332435,78.329311]"
19,ИЧ-2,Гилевка,52.963119,80.820429,"[52.963119,80.820429]"
20,ИЧ-2,Дальний,53.02109,82.465226,"[53.02109,82.465226]"
21,ИЧ-2,Кильты,52.615306,79.124509,"[52.615306,79.124509]"
22,ИЧ-2,Корчино,52.967881,81.617154,"[52.967881,81.617154]"
23,ИЧ-2,Красный Дол,53.129413,78.514813,"[53.129413,78.514813]"
24,ИЧ-2,Кулунда,52.569303,78.928343,"[52.569303,78.928343]"
25,ИЧ-2,Леньки,52.928739,80.462091,"[52.928739,80.462091]"
26,ИЧ-2,Новоблаговещенка,52.820067,79.902081,"[52.820067,79.902081]"
27,ИЧ-2,Овечкино,52.96863,81.253336,"[52.96863,81.253336]"
28,ИЧ-2,Паново,53.001607,82.122914,"[53.001607,82.122914]"
29,ИЧ-2,Ребриха,53.010136,82.301877,"[53.010136,82.301877]"
30,ИЧ-2,Славгород,52.977713,78.643757,"[52.977713,78.643757]"
31,ИЧ-2,Табуны,52.769377,78.784379,"[52.769377,78.784379]"
32,ИЧ-2,Яготинская,52.722054,79.518626,"[52.722054,79.518626]"
33,ШЧ-1,Входная (Маневровый пост),54.945386,73.189025,"[54.945386,73.189025]"
34,ШЧ-1,Входная (Объединенный пост),54.945386,73.189025,"[54.945386,73.189025]"
35,ШЧ-1,Входная (Резервный пост),54.945386,73.189025,"[54.945386,73.189025]"
36,ШЧ-1,Жатва,54.358245,74.084565,"[54.358245,74.084565]"
37,ШЧ-1,Исилькуль,54.909722,71.261348,"[54.909722,71.261348]"
38,ШЧ-1,Карбышево I,54.937893,73.328905,"[54.937893, 73.328905]"
39,ШЧ-1,Карбышево II,54.907464,73.258017,"[54.907464, 73.258017]"
40,ШЧ-1,Лузино,54.953339,73.04251,"[54.953339,73.04251]"
41,ШЧ-1,Любовка,54.159679,74.441573,"[54.159679,74.441573]"
42,ШЧ-1,Мариановка,54.957692,72.639777,"[54.957692,72.639777]"
43,ШЧ-1,Москаленки,54.936377,71.934896,"[54.936377,71.934896]"
44,ШЧ-1,Пикетное,54.949223,72.307167,"[54.949223,72.307167]"
45,ШЧ-1,Стрела,54.569549,73.699313,"[54.569549,73.699313]"
46,ШЧ-1,Фадино,54.78412,73.339394,"[54.78412,73.339394]"
47,ШЧ-10,Аламбай,54.025086,85.88178,"[54.025086,85.88178]"
48,ШЧ-10,Алтайская  Г,53.45694,84.014289,"[53.456940, 84.014289]"
49,ШЧ-10,Алтайская ЭЦ2,53.406608,83.924711,"[53.406608, 83.924711]"
50,ШЧ-10,Алтайская ЭЦО,51.806131,79.664909,"[51.806131, 79.664909]"
51,ШЧ-10,Батунная,53.657033,84.811392,"[53.657033,84.811392]"
52,ШЧ-10,Боровиха,53.481974,83.913391,"[53.481974,83.913391]"
53,ШЧ-10,Голуха,53.847214,85.431778,"[53.847214,85.431778]"
54,ШЧ-10,Заринская,53.704472,84.940705,"[53.704472,84.940705]"
55,ШЧ-10,Озерки,53.669773,83.691428,"[53.669773, 83.691428]"
56,ШЧ-10,Повалиха,53.507435,83.843709,"[53.507435,83.843709]"
57,ШЧ-10,Смазнево,53.837056,85.203372,"[53.837056,85.203372]"
58,ШЧ-10,Тягун,53.947113,85.660444,"[53.947113,85.660444]"
59,ШЧ-10,Цаплино,53.577524,83.761926,"[53.577524,83.761926]"
60,ШЧ-10,Шпагино,53.546445,84.522898,"[53.546445,84.522898]"
61,ШЧ-11,Алейская,52.495013,82.788126,"[52.495013,82.788126]"
62,ШЧ-11,Арбузовка,53.093619,82.916863,"[53.093619,82.916863]"
63,ШЧ-11,Барнаул,53.351391,83.756456,"[53.351391,83.756456]"
64,ШЧ-11,Барнаул парк Южный,53.351391,83.756456,"[53.351391,83.756456]"
65,ШЧ-11,Баюново,53.282132,84.314929,"[53.282132,84.314929]"
66,ШЧ-11,Бийск,52.535529,85.179719,"[52.535529,85.179719]"
67,ШЧ-11,Бийск парк Чемровка,52.535529,85.179719,"[52.535529,85.179719]"
68,ШЧ-11,Большая Речка,52.982148,84.666099,"[52.982148,84.666099]"
69,ШЧ-11,Буланиха,52.796426,84.814572,"[52.796426,84.814572]"
70,ШЧ-11,Гордеево,53.109406,84.67422,"[53.109406,84.67422]"
71,ШЧ-11,Зональный,52.663292,84.932898,"[52.663292,84.932898]"
72,ШЧ-11,Калманка,53.088535,83.369102,"[53.088535,83.369102]"
73,ШЧ-11,Кузнечная,53.376807,83.967012,"[53.376807,83.967012]"
74,ШЧ-11,Овчинниково,53.19987,84.600315,"[53.19987,84.600315]"
75,ШЧ-11,Присягино,53.371494,83.874153,"[53.371494,83.874153]"
76,ШЧ-11,Рубцовск,51.515905,81.202662,"[51.515905,81.202662]"
77,ШЧ-11,Сарайский,53.177716,83.231543,"[53.177716,83.231543]"
78,ШЧ-11,Топчиха,52.816383,83.11637,"[52.816383,83.11637]"
79,ШЧ-11,Штабка,53.242511,83.432317,"[53.242511,83.432317]"
80,ШЧ-14,Баган,54.095606,77.65473,"[54.095606,77.65473]"
81,ШЧ-14,Валиханово,53.813921,75.80888,"[53.813921, 75.808880]"
82,ШЧ-14,Зубково,53.727118,78.626778,"[53.727118, 78.626778]"
83,ШЧ-14,Иртышское,53.911911,74.904313,"[53.911911,74.904313]"
84,ШЧ-14,Карасук-1,53.730544,78.036694,"[53.730544,78.036694]"
85,ШЧ-14,Карасук-3,53.751949,78.054369,"[53.751949, 78.054369]"
86,ШЧ-14,Краснозерское,53.735466,79.241532,"[53.735466,79.241532]"
87,ШЧ-14,Купино,54.357594,77.277536,"[54.357594,77.277536]"
88,ШЧ-14,Мынкуль,53.759029,76.621817,"[53.759029, 76.621817]"
89,ШЧ-14,Осолодино,53.778341,77.954651,"[53.778341,77.954651]"
90,ШЧ-14,Районная,53.781377,77.428201,"[53.781377, 77.428201]"
91,ШЧ-14,Табулга,54.901031,76.345346,"[54.901031,76.345346]"
92,ШЧ-14,Чебачий,53.759293,78.214335,"[53.759293,78.214335]"
93,ШЧ-14,Черлак,53.879339,75.113684,"[53.879339,75.113684]"
94,ШЧ-14,Чистоозерная,54.710521,76.57933,"[54.710521,76.57933]"
95,ШЧ-14,Шипицыно,54.530985,76.852624,"[54.530985,76.852624]"
96,ШЧ-15,Безменово,54.084368,83.404541,"[54.084368,83.404541]"
97,ШЧ-15,Воронежская-Молодежная,53.771572,83.408637,"[53.771572,83.408637]"
98,ШЧ-15,Камень-на-Оби,53.776665,81.291964,"[53.776665,81.291964]"
99,ШЧ-15,Красный Боец,53.867931,83.484967,"[53.867931,83.484967]"
100,ШЧ-15,Ларичиха,53.778644,83.055931,"[53.778644,83.055931]"
101,ШЧ-15,Панкрушиха,53.756509,80.260284,"[53.756509,80.260284]"
102,ШЧ-15,Плотинная,53.790013,81.427645,"[53.790013,81.427645]"
103,ШЧ-15,Рямы,53.80509,82.799184,"[53.80509,82.799184]"
104,ШЧ-15,Световская,53.725712,80.64886,"[53.725712,80.64886]"
105,ШЧ-15,Среднесибирская,53.74068,83.640654,"[53.74068,83.640654]"
106,ШЧ-15,Сузун,53.808387,82.308434,"[53.808387,82.308434]"
107,ШЧ-15,Тараданово,53.817531,81.812788,"[53.817531, 81.812788]"
108,ШЧ-15,Урываево,53.762764,79.859052,"[53.762764,79.859052]"
109,ШЧ-15,Усть-Тальменская,53.821911,83.566004,"[53.821911,83.566004]"
110,ШЧ-15,Хабары,53.762759,79.663785,"[53.762759,79.663785]"
111,ШЧ-17,Анжерская,56.076508,86.047797,"[56.076508,86.047797]"
112,ШЧ-17,Анжерск-Зап,56.063409,85.994662,"[56.063409,85.994662]"
113,ШЧ-17,Антибесский,56.171849,87.52523,"[56.171849,87.52523]"
114,ШЧ-17,Арлюк,55.430728,84.842339,"[55.430728,84.842339]"
115,ШЧ-17,Барзас,55.740081,86.277344,"[55.740081,86.277344]"
116,ШЧ-17,Берикульская,56.171022,87.23087,"[56.171022,87.23087]"
117,ШЧ-17,Бирюлинская,55.643922,86.25043,"[55.643922,86.25043]"
118,ШЧ-17,Водоканальная,56.081828,86.243172,"[56.081828,86.243172]"
119,ШЧ-17,Забойщик,55.595766,86.200287,"[55.595766,86.200287]"
120,ШЧ-17,Ижморская,56.189725,86.638116,"[56.189725,86.638116]"
121,ШЧ-17,Кайгур,55.875506,86.141582,"[55.875506,86.141582]"
122,ШЧ-17,Кемерово,55.323464,86.039479,"[55.323464,86.039479]"
123,ШЧ-17,Латыши,55.53289,86.165818,"[55.53289,86.165818]"
124,ШЧ-17,Литвиново,55.840068,85.352007,"[55.840068,85.352007]"
125,ШЧ-17,Блок-Пост,55.703966,84.776286,"[55.703966,84.776286]"
126,ШЧ-17,Правотомск,55.393288,86.024504,"[55.393288,86.024504]"
127,ШЧ-17,Предкомбинат,55.360351,86.029499,"[55.360351,86.029499]"
128,ШЧ-17,Притомье,55.472786,86.138959,"[55.472786,86.138959]"
129,ШЧ-17,Разъезд 11 км,56.10578,85.492287,"[56.105780, 85.492287]"
130,ШЧ-17,Савай,55.612838,84.752714,"[55.612838,84.752714]"
131,ШЧ-17,Линейный,55.468928,84.757862,"[55.468928,84.757862]"
132,ШЧ-17,Сосновка,55.46679,85.042376,"[55.46679,85.042376]"
133,ШЧ-17,Листвянка,55.418134,85.165266,"[55.418134,85.165266]"
134,ШЧ-17,Ключевой,55.314233,85.312994,"[55.314233,85.312994]"
135,ШЧ-17,Каменный Бродик,55.247765,85.49581,"[55.247765,85.49581]"
136,ШЧ-17,Судженка,56.111243,86.166384,"[56.111243,86.166384]"
137,ШЧ-17,Тайга,56.059986,85.585435,"[56.059986,85.585435]"
138,ШЧ-17,"Тайга- парк ""А""",56.05999,85.58601,"[56.059990, 85.586010]"
139,ШЧ-17,Тутальская,55.755403,84.988567,"[55.755403,84.988567]"
140,ШЧ-17,Челы,56.032886,86.032248,"[56.032886,86.032248]"
141,ШЧ-17,Шишино,55.361968,85.221509,"[55.361968,85.221509]"
142,ШЧ-17,Юрга-2,55.673412,84.770402,"[55.673412,84.770402]"
143,ШЧ-17,Юрга-1,55.712371,84.842034,"[55.712371,84.842034]"
144,ШЧ-17,Яшкино,55.871521,85.420693,"[55.871521,85.420693]"
